"","x"
"2020-03-05",1
"2020-03-06",2
"2020-03-07",2
"2020-03-08",4
"2020-03-09",14
"2020-03-10",14
"2020-03-11",19
"2020-03-12",23
"2020-03-13",29
"2020-03-14",39
"2020-03-15",56
"2020-03-16",74
"2020-03-17",97
"2020-03-18",119
"2020-03-19",146
"2020-03-20",195
"2020-03-21",226
"2020-03-22",259
"2020-03-23",301
"2020-03-24",358
"2020-03-25",419
"2020-03-26",486
"2020-03-27",542
"2020-03-28",621
"2020-03-29",661
"2020-03-30",690
"2020-03-31",754
"2020-04-01",871
"2020-04-02",968
"2020-04-03",1075
"2020-04-04",1181
"2020-04-05",1250
"2020-04-06",1348
"2020-04-07",1373
"2020-04-08",1423
"2020-04-09",1451
"2020-04-10",1500
"2020-04-11",1569
"2020-04-12",1651
"2020-04-13",1732
